City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
254,Saint-Joseph,RE,2023-01-19 22:10:05,-21.3667,55.6167,75.58,89,100,11.56
255,Deputatskiy,RU,2023-01-19 22:10:06,69.3,139.9,-30.62,98,12,4.61
256,Guayaramerin,BO,2023-01-19 22:10:08,-10.8368,-65.3614,78.08,79,70,1.81
257,Horta,PT,2023-01-19 22:10:09,38.5333,-28.6333,58.01,71,75,11.99
258,Muros,ES,2023-01-19 22:10:09,42.7762,-9.0603,56.08,93,100,15.88
259,Kirakira,SB,2023-01-19 22:10:10,-10.4544,161.9205,82.06,81,100,9.01
260,Ouadda,CF,2023-01-19 22:10:10,8.0777,22.4007,69.8,28,14,6.29
261,Manyana,BW,2023-01-19 22:10:11,-23.4,21.7167,73.65,49,34,6.22
262,Eregli,TR,2023-01-19 22:10:11,37.5133,34.0467,42.58,48,72,0.85
263,Kavieng,PG,2023-01-19 22:10:11,-2.5744,150.7967,82.29,75,91,4.05
264,Tuatapere,NZ,2023-01-19 22:10:12,-46.1333,167.6833,57.47,91,100,8.77
265,Takoradi,GH,2023-01-19 22:10:12,4.8845,-1.7554,80.38,85,22,8.14
266,Ola,RU,2023-01-19 22:10:13,59.5833,151.2833,-21.69,84,34,11.54
267,Mingguang,CN,2023-01-19 22:10:13,32.7802,117.9638,32.65,65,0,7.16
268,Tibati,CM,2023-01-19 22:10:14,6.4667,12.6333,72.23,22,33,5.35
269,Arlit,NE,2023-01-19 22:10:14,18.7369,7.3853,66.22,9,9,9.22
270,Sola,VU,2023-01-19 22:10:14,-13.8833,167.55,80.2,77,100,15.5
271,Westport,US,2023-01-19 22:06:39,41.1415,-73.3579,40.77,91,100,14.0
272,Shingu,JP,2023-01-19 22:10:15,33.7333,135.9833,40.44,80,4,7.11
273,Blyznyuky,UA,2023-01-19 22:10:16,48.8578,36.5551,40.44,68,90,16.96
274,Chengde,CN,2023-01-19 22:10:16,40.9725,117.9361,4.73,58,0,5.41
275,Timra,SE,2023-01-19 22:10:17,62.487,17.3257,20.88,93,0,3.44
276,Belle Glade,US,2023-01-19 22:10:17,26.6845,-80.6676,81.01,53,52,1.66
277,Ranot,TH,2023-01-19 22:10:18,7.7777,100.3213,79.11,77,98,11.48
278,Mindelo,CV,2023-01-19 22:10:18,16.8901,-24.9804,71.15,64,20,31.07
279,San Quintin,MX,2023-01-19 22:10:19,30.4833,-115.95,59.67,58,0,15.66
